,id,correctness,target,answer,recounted_correctness,mg_correctness,match,category,dataset
0,2,True,A,B,False,True,True,absent,cyber
1,19,False,D,N,False,False,True,absent,cyber
2,11,True,A,A,True,True,True,certain,cyber
3,14,True,A,A,True,False,False,discussive,cyber
4,5,True,C,A,False,True,True,absent,cyber
5,10,False,B,D,False,False,True,absent,cyber
6,18,True,B,N,False,False,False,absent,cyber
7,3,True,B,B,True,False,False,discussive,cyber
8,16,False,B,N,False,False,True,absent,cyber
9,9,True,C,C,True,False,False,discussive,cyber
10,17,False,D,B,False,True,False,absent,cyber
11,15,True,B,B,True,False,False,discussive,cyber
12,13,True,A,A,True,True,True,certain,cyber
13,12,True,A,D,False,False,False,absent,cyber
14,6,True,A,A,True,False,False,discussive,cyber
15,4,True,D,N,False,False,False,absent,cyber
16,22,False,B,N,False,True,False,absent,cyber
17,25,True,A,A,True,True,True,certain,cyber
18,26,True,D,D,True,True,True,certain,cyber
19,27,False,D,A,False,True,False,absent,cyber
20,28,True,D,N,False,False,False,absent,cyber
21,29,True,C,C,True,True,True,certain,cyber
22,30,True,C,A,False,False,False,absent,cyber
23,31,True,A,A,True,False,False,discussive,cyber
24,32,True,B,B,True,True,True,certain,cyber
25,33,False,C,D,False,True,False,absent,cyber
26,36,True,B,B,True,False,False,discussive,cyber
27,8,False,B,D,False,False,True,absent,cyber
28,37,True,B,C,False,False,False,absent,cyber
29,23,True,A,A,True,False,False,discussive,cyber
30,24,True,D,N,False,False,False,absent,cyber
31,38,True,B,B,True,True,True,certain,cyber
32,39,True,B,B,True,True,True,certain,cyber
33,61,False,C,B,False,False,True,absent,cyber
34,63,False,B,C,False,False,True,absent,cyber
35,64,True,D,D,True,False,False,discussive,cyber
36,65,True,B,B,True,False,False,discussive,cyber
37,66,True,A,A,True,True,True,certain,cyber
38,34,True,A,N,False,False,False,absent,cyber
39,35,True,D,N,False,True,True,absent,cyber
40,67,False,B,N,False,True,False,absent,cyber
41,68,True,A,A,True,True,True,certain,cyber
42,20,True,D,N,False,True,True,absent,cyber
43,69,True,C,A,False,False,False,absent,cyber
44,70,False,B,C,False,True,False,absent,cyber
45,71,False,C,D,False,False,True,absent,cyber
46,55,True,C,C,True,True,True,certain,cyber
47,50,True,A,A,True,False,False,discussive,cyber
48,59,False,D,C,False,False,True,absent,cyber
49,48,True,B,B,True,False,False,discussive,cyber
50,56,True,A,A,True,False,False,discussive,cyber
51,74,True,C,C,True,False,False,discussive,cyber
52,78,False,C,N,False,False,True,absent,cyber
53,79,True,D,N,False,True,True,absent,cyber
54,80,True,B,N,False,True,True,absent,cyber
55,81,False,D,N,False,False,True,absent,cyber
56,84,True,C,C,True,False,False,discussive,cyber
57,85,True,D,D,True,True,True,certain,cyber
58,72,True,A,N,False,False,False,absent,cyber
59,60,True,D,A,False,False,False,absent,cyber
60,94,False,D,N,False,False,True,absent,cyber
61,95,True,A,C,False,False,False,absent,cyber
62,96,True,D,D,True,True,True,certain,cyber
63,82,False,A,N,False,True,False,absent,cyber
64,83,False,C,N,False,True,False,absent,cyber
65,97,False,D,C,False,False,True,absent,cyber
66,98,True,A,C,False,False,False,absent,cyber
67,86,True,D,N,False,False,False,absent,cyber
68,99,True,C,A,False,False,False,absent,cyber
69,73,False,D,B,False,False,True,absent,cyber
70,87,True,A,N,False,False,False,absent,cyber
71,100,True,A,A,True,False,False,discussive,cyber
72,43,True,A,C,False,False,False,absent,cyber
73,101,False,B,N,False,False,True,absent,cyber
74,104,True,B,B,True,False,False,discussive,cyber
75,105,True,D,D,True,False,False,discussive,cyber
76,7,False,D,N,False,True,False,absent,cyber
77,1,True,C,C,True,True,True,certain,cyber
78,21,True,B,N,False,False,False,absent,cyber
79,106,True,A,A,True,False,False,discussive,cyber
80,109,True,D,D,True,True,True,certain,cyber
81,110,True,C,C,True,False,False,discussive,cyber
82,112,True,A,A,True,True,True,certain,cyber
83,117,True,A,B,False,False,False,absent,cyber
84,118,True,B,N,False,True,True,absent,cyber
85,119,True,A,A,True,False,False,discussive,cyber
86,120,True,D,D,True,False,False,discussive,cyber
87,107,False,C,D,False,False,True,absent,cyber
88,108,True,A,A,True,False,False,discussive,cyber
89,121,True,C,C,True,True,True,certain,cyber
90,122,False,D,B,False,True,False,absent,cyber
91,135,True,A,A,True,False,False,discussive,cyber
92,113,False,A,N,False,False,True,absent,cyber
93,103,True,A,A,True,False,False,discussive,cyber
94,164,False,B,C,False,False,True,absent,cyber
95,165,False,D,N,False,False,True,absent,cyber
96,167,True,B,B,True,False,False,discussive,cyber
97,169,False,A,N,False,True,False,absent,cyber
98,170,True,B,B,True,False,False,discussive,cyber
99,172,True,A,A,True,True,True,certain,cyber
100,176,False,D,A,False,False,True,absent,cyber
101,166,False,D,N,False,False,True,absent,cyber
102,177,True,B,C,False,False,False,absent,cyber
103,168,True,C,A,False,False,False,absent,cyber
104,178,True,C,C,True,False,False,discussive,cyber
